Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of Mentions,Flag
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,234.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,580.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,1062.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1427.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,1837.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,5276.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,25.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,89.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,211.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,530.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1273.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,2267.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,2717.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,2787.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,9899.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,25.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,163.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,667.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,2261.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,6375.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,11807.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,14966.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,17828.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,54092.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,5.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,38.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,154.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,692.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,2640.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,6085.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,9088.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,10804.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,29507.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,76.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,278.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,678.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,1930.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,4344.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,6869.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,7442.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,7944.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrest,I46,All Ages,29561.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,14.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,36.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,107.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,375.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1238.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,3107.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,5240.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,7144.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,17261.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,0-24,9.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,25-34,54.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,35-44,126.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,45-54,444.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,55-64,1442.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,65-74,3113.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,75-84,5130.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,85+,7899.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Heart failure,I50,All Ages,18217.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,9.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,41.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,137.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,466.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1452.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,2885.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,3737.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,4209.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,12937.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,65.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,160.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,361.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,845.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1945.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,3380.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,3970.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,4688.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,15414.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,0-24,56.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,25-34,223.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,35-44,560.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,45-54,1697.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,55-64,4030.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,65-74,6652.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,75-84,6177.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,85+,4435.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Sepsis,Sepsis,A40-A41,All Ages,23830.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,39.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,54.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,150.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,438.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1650.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,3242.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,3711.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,3088.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,12372.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,0-24,64.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,25-34,257.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,35-44,899.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,45-54,2723.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,55-64,6714.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,65-74,11198.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,75-84,11391.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,85+,8427.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Diabetes,Diabetes,E10-E14,All Ages,41673.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,0-24,123.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,25-34,430.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,35-44,960.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,45-54,1670.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,55-64,2418.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,65-74,2446.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,75-84,1321.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,85+,358.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Obesity,Obesity,E65-E68,All Ages,9726.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,6.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,77.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,670.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,2848.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,6308.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Alzheimer disease,Alzheimer disease,G30,All Ages,9909.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,31.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,413.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,2605.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,8548.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,17068.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,28668.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,0-24,29.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,25-34,180.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,35-44,463.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,45-54,1388.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,55-64,3426.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,65-74,5891.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,75-84,6249.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,85+,5574.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2.0,
12/06/2020,02/01/2020,12/05/2020,US,Renal failure,Renal failure,N17-N19,All Ages,23202.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,90.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,262.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,337.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,550.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,1103.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1759.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,2225.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,3017.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0.0,
12/06/2020,02/01/2020,12/05/2020,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,9343.0,
12/06/2020,02/01/2020,12/05/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,435.0,
12/06/2020,02/01/2020,12/05/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,1175.0,
12/06/2020,02/01/2020,12/05/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,2631.0,
12/06/2020,02/01/2020,12/05/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,6997.0,
